"date","close","high","low","open"
"2021-01-22T17:16:00.000Z",276.39,276.39,276.21,276.21
"2021-01-22T17:17:00.000Z",276.345,276.395,276.24,276.385
"2021-01-22T17:18:00.000Z",276.18,276.36,276.18,276.35
"2021-01-22T17:19:00.000Z",276.215,276.235,276.155,276.21
"2021-01-22T17:20:00.000Z",275.925,276.26,275.9,276.26
"2021-01-22T17:21:00.000Z",275.72,275.91,275.655,275.89
"2021-01-22T17:22:00.000Z",275.945,276.055,275.85,275.85
"2021-01-22T17:23:00.000Z",276.045,276.045,276.01,276.01
"2021-01-22T17:24:00.000Z",276.04,276.08,275.99,275.995
"2021-01-22T17:25:00.000Z",276.12,276.12,275.965,275.99
"2021-01-22T17:26:00.000Z",276.105,276.245,276.09,276.09
"2021-01-22T17:27:00.000Z",276.3,276.33,276.19,276.22
"2021-01-22T17:28:00.000Z",276.165,276.22,276.16,276.22
"2021-01-22T17:29:00.000Z",276.17,276.17,276.09,276.11
"2021-01-22T17:30:00.000Z",276.16,276.275,276.16,276.2
"2021-01-22T17:31:00.000Z",276.15,276.19,276.04,276.16
"2021-01-22T17:32:00.000Z",276.2,276.28,276.19,276.19
"2021-01-22T17:33:00.000Z",276.09,276.27,276.09,276.24
"2021-01-22T17:34:00.000Z",276.34,276.34,276.2,276.2
"2021-01-22T17:35:00.000Z",276.32,276.42,276.32,276.37
"2021-01-22T17:36:00.000Z",276.43,276.5,276.4,276.4
"2021-01-22T17:37:00.000Z",276.35,276.43,276.25,276.4
"2021-01-22T17:38:00.000Z",276.47,276.52,276.35,276.35
"2021-01-22T17:39:00.000Z",276.32,276.445,276.2,276.445
"2021-01-22T17:40:00.000Z",276.26,276.32,276.21,276.29
"2021-01-22T17:41:00.000Z",276.375,276.395,276.23,276.26
"2021-01-22T17:42:00.000Z",276.255,276.325,276.145,276.325
"2021-01-22T17:43:00.000Z",276.24,276.27,276.195,276.27
"2021-01-22T17:44:00.000Z",276.22,276.305,276.16,276.305
"2021-01-22T17:45:00.000Z",276.16,276.36,276.13,276.28
"2021-01-22T17:46:00.000Z",276.16,276.25,276.145,276.22
"2021-01-22T17:47:00.000Z",276.205,276.265,276.095,276.16
"2021-01-22T17:48:00.000Z",276.25,276.53,276.175,276.175
"2021-01-22T17:49:00.000Z",276.235,276.28,276.17,276.175
"2021-01-22T17:50:00.000Z",276.16,276.19,276.065,276.14
"2021-01-22T17:51:00.000Z",276.025,276.15,276.01,276.13
"2021-01-22T17:52:00.000Z",276.15,276.15,275.995,276.01
"2021-01-22T17:53:00.000Z",276.06,276.06,276,276.01
"2021-01-22T17:54:00.000Z",276.01,276.1,275.99,276.1
"2021-01-22T17:55:00.000Z",275.9,276.01,275.79,276.01
"2021-01-22T17:56:00.000Z",275.77,275.86,275.73,275.83
"2021-01-22T17:57:00.000Z",275.59,275.76,275.57,275.76
"2021-01-22T17:58:00.000Z",275.53,275.625,275.485,275.485
"2021-01-22T17:59:00.000Z",275.69,275.74,275.515,275.515
"2021-01-22T18:00:00.000Z",275.73,275.755,275.65,275.68
"2021-01-22T18:01:00.000Z",275.87,275.95,275.755,275.76
"2021-01-22T18:02:00.000Z",275.92,275.945,275.895,275.93
"2021-01-22T18:03:00.000Z",276.03,276.14,276.005,276.005
"2021-01-22T18:04:00.000Z",276.2,276.215,276.02,276.03
"2021-01-22T18:05:00.000Z",276.18,276.23,276.145,276.21
"2021-01-22T18:06:00.000Z",275.595,275.91,275.58,275.91
"2021-01-22T18:07:00.000Z",275.45,275.61,275.44,275.59
"2021-01-22T18:08:00.000Z",275.41,275.41,275.265,275.39
"2021-01-22T18:09:00.000Z",275.405,275.555,275.395,275.51
"2021-01-22T18:10:00.000Z",275.36,275.485,275.27,275.38
"2021-01-22T18:11:00.000Z",275.595,275.605,275.36,275.36
"2021-01-22T18:12:00.000Z",275.46,275.65,275.46,275.635
"2021-01-22T18:13:00.000Z",275.49,275.53,275.425,275.425
"2021-01-22T18:14:00.000Z",275.58,275.645,275.52,275.59
"2021-01-22T18:15:00.000Z",275.585,275.69,275.515,275.53
"2021-01-22T18:16:00.000Z",275.595,275.69,275.57,275.57
"2021-01-22T18:17:00.000Z",275.4,275.46,275.34,275.385
"2021-01-22T18:18:00.000Z",275.45,275.545,275.405,275.405
"2021-01-22T18:19:00.000Z",275.44,275.455,275.385,275.44
"2021-01-22T18:20:00.000Z",275.45,275.48,275.435,275.45
"2021-01-22T18:21:00.000Z",275.3,275.52,275.3,275.485
"2021-01-22T18:22:00.000Z",275.43,275.49,275.275,275.29
"2021-01-22T18:23:00.000Z",275.535,275.61,275.47,275.47
"2021-01-22T18:24:00.000Z",275.78,275.78,275.66,275.69
"2021-01-22T18:25:00.000Z",275.71,275.895,275.655,275.75
